,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
686,0.0008058128011070643,0.0,0.0675092935215848,0.006140664768539052,0.08136862875304575
687,0.0006427198963676582,0.0,0.08523508634299419,0.00602304477590305,0.09921204156709115
688,0.0004400288807989911,0.0,0.1069606519948869,0.0057468790509571325,0.12121377294392977
689,0.0001441753099345623,0.0,0.12835570370966573,0.0035695504558926608,0.14478615325377306
690,0.0,0.0,0.15288323850390095,0.0034344518958058625,0.1694487866080951
691,0.0,0.0,0.18994914671467647,0.003245832819632544,0.20670331389504393
692,0.0,0.0,0.2331206689774133,0.005246194702258022,0.24787447427515527
693,0.0,0.0,0.2615588451266873,0.006403880427868934,0.2751549646988184
694,0.0,0.0,0.27223474803693615,0.007351550938730169,0.284883197098206
695,0.0,0.0,0.2694976755652211,0.010865831712117704,0.2786318438531034
696,0.0,0.0,0.2575028488037873,0.009082693985164406,0.2684201548186229
697,0.0,0.0,0.24997700628194325,0.013957966630811612,0.25601903965113165
698,0.0,0.0,0.2353987097527236,0.020142420976642553,0.23525628877608104
699,0.0,0.0,0.20748356676722085,0.024240548530218186,0.20324301823700267
700,0.0,0.0,0.1698496240775293,0.02464131923637431,0.16520830484115498
701,0.0,0.0,0.1261046858209213,0.02240876368490754,0.12369592213601377
702,0.0,0.0,0.09576475581547983,0.01730158691369427,0.09846316890178557
703,0.0,0.0,0.08287683329160618,0.014404519795048577,0.0884723134965576
704,0.0,0.0,0.06866531384736191,0.011697821474198292,0.07696749237316362
705,0.0,0.0,0.05561907939487565,0.0081039459839555,0.06751513341092015
706,0.0,0.0,0.057973681562873886,0.0073582812797946045,0.07061540028307929
707,0.0,0.0,0.06443181510929541,0.006622141851887919,0.0778096732574075
708,0.0,0.0,0.07909151632814783,0.0059222299093392005,0.09316928641880862
709,0.0,0.0,0.0988877959326342,0.0052741108194591544,0.11361368511317507
710,0.0,0.0,0.1254509276714735,0.004691721700595937,0.14075920597087757
711,0.0,0.0,0.1540788999599882,0.0041712899192437435,0.16990761004074445
712,0.0,0.0,0.1833198433864129,0.003709211833208085,0.19961063155320483
713,0.0,0.0,0.21336101005479224,0.0033078189923922458,0.2300531910624
714,0.0,0.0,0.2512949032299034,0.006028900828541273,0.26526600240136217
715,0.0,0.0,0.27105861652645274,0.009927286805484195,0.2811313297209686
716,0.0,0.0,0.26852192027724753,0.009480779698029223,0.27904114057921836
717,0.0,0.0,0.2550412517912939,0.01044984813460383,0.2645914036566901
718,0.0,0.0,0.23086147669017199,0.00989164487098636,0.24096983181918563
719,0.0,0.0,0.20609469759595708,0.005120899398162651,0.22097379819779442
720,0.0,0.0,0.1901794071563757,0.005122398580694665,0.20505700857568104
721,0.0,0.0,0.1633176515612788,0.010959639867607035,0.17235801169367174
722,0.0,0.0,0.12747365587377477,0.014548952041130676,0.1329247038326441
723,0.0,0.0,0.09196429144470272,0.012627546103566508,0.09933674534113622
724,0.0,0.0,0.0658309433500106,0.010157005622532536,0.07567393772747806
725,0.0,0.0,0.06462721236522964,0.008149855719802432,0.07647735664542721
726,0.0,0.0,0.05946131622589706,0.007878663901046249,0.07158265232485081
727,0.0,0.0,0.05768136464111812,0.007416444168539513,0.07026492047257861
728,0.0,0.0,0.05984540438778228,0.006849387796763419,0.07299601659101887
729,0.0,0.0,0.07177563968250286,0.006245899966472273,0.08552973971603059
730,0.0,0.0,0.08482884540407833,0.005643690941865449,0.09918515446221288
731,0.0,0.0,0.11440104155716375,0.005067412739405664,0.1293336288177581
732,0.0,0.0,0.1512354548573034,0.004541627698381212,0.16669382715892217
733,0.0,0.0,0.1821574327949189,0.004063564634581979,0.19809386816033692
734,0.0,0.0,0.20646923403318446,0.006074842116592956,0.22039439191659146
735,0.0,0.0,0.22625064767894795,0.0032573119663839747,0.24299333571256396
736,0.0,0.0,0.2537983466885737,0.005983636565976948,0.2678147101225968
737,0.0,0.0,0.27012692290710205,0.00847405152364213,0.28165287138345996
738,0.0,0.0,0.263391510841001,0.010586852311941777,0.2728046585290592
739,0.0,0.0,0.24733914032700777,0.014175881971698924,0.25316325835530884
740,0.0,0.0,0.21890785886243733,0.013705123851250757,0.22520273501118657
741,0.0,0.0,0.18073102231638113,0.011729844827517336,0.1890011774888638
742,0.0,0.0,0.15247024693856984,0.00398918050793821,0.16848106643063165
743,0.0,0.0,0.12997114899208412,0.006921417123330251,0.1430497318687539
744,0.0,0.0,0.10253385840245224,0.0062714459787974654,0.11626241242365479
745,0.0,0.0,0.07111358413384142,0.003580207539447606,0.08753337659439382
746,0.0,0.0,0.057946181065742085,0.002865131244867065,0.07508104982087502
747,0.0,0.0,0.058646320322366274,0.0047736350564772795,0.073872685265889
748,0.0,0.0,0.06046919585785533,0.00330747196920893,0.07716172388864641
749,0.0,0.0,0.06529298672352836,0.0036343141773905016,0.08165867254613787
750,0.0,0.0,0.07320291549298047,0.0037149375888479727,0.0894879779041325
751,0.0,0.0,0.09167712610571567,0.003639290072382828,0.10803783603333285
752,0.0,0.0,0.11276808014515166,0.0034736331932357454,0.12929444695191591
753,0.0,0.0,0.14517707658483994,0.00326040531242959,0.16191667127241033
754,0.0,0.0,0.18046851061403954,0.00597058491352042,0.1944979257005191
