,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
884,0.0,0.0,0.131437360233569,0.005202526224804361,0.1462348340087646
885,0.0,0.0,0.11370520479472687,0.005083733680082784,0.1286214711146441
886,0.0,0.0,0.08980269943409963,0.004826241841336631,0.10497645759276301
887,0.0,0.0,0.07134797504705474,0.004489495720060884,0.08685847932699386
888,0.0,0.0,0.05987925806821426,0.004115626451905643,0.07576363161630861
889,0.0,0.0,0.06009794635225136,0.003734162486945132,0.07636378386530623
890,0.0,0.0,0.060834536924325625,0.0031490175070291687,0.07768551941729646
891,0.0,0.0,0.07001450054808432,0.0025146496260742193,0.0874998509220101
892,0.0,0.0,0.08266239557452706,0.002026222798593687,0.10063617277593338
893,0.0,0.0,0.10160403475453038,0.0021511043577033765,0.11945293039682701
894,0.0,0.0,0.11909503087081538,0.002232409670063373,0.136862621200752
895,0.0,0.0,0.14879611003804066,0.002211991388139302,0.16658411864990136
896,0.0,0.0,0.18555439330309137,0.00579018351858922,0.19976420978450216
897,0.0,0.0,0.21808621262619862,0.008075679561257963,0.23001053306494065
898,0.0,0.0,0.2343288445480886,0.0081041714436977,0.24622467310439092
899,0.0,0.0,0.2429411872144741,0.009472675078591808,0.2534685121358823
900,0.0,0.0,0.24447806692387555,0.009982884787745628,0.2544951821361299
901,0.0,0.0,0.23323225093232977,0.0,0.25323225093232976
902,0.0,0.0,0.22491562239805807,0.0023010515519576065,0.24261457084610047
903,0.0,0.0,0.19938904364808493,0.006566533714524956,0.21282250993355997
904,0.0,0.0,0.16378178553015704,0.00922345524711073,0.17455833028304632
905,0.0,0.0,0.11987097149943987,0.008358434006209836,0.13151253749323003
906,0.0,0.0,0.09407488289994673,0.006548993312598948,0.10752588958734778
907,0.0,0.0,0.0865198793756164,0.00657351968678224,0.09994635968883415
908,0.0,0.0,0.07489468012758156,0.006337785000777704,0.08855689512680387
909,0.0,0.0,0.06592482563814409,0.0059551514889873,0.07996967414915679
910,0.0,0.0,0.05752415790733202,0.0054956490592814895,0.07202850884805054
911,0.0,0.0,0.06196249325489134,0.005005013921745735,0.0769574793331456
912,0.0,0.0,0.06671037315965242,0.004521270270124179,0.08218910288952824
913,0.0,0.0,0.0836500160242933,0.004061774211048226,0.09958824181324508
914,0.0,0.0,0.10538335767210687,0.003635517593902636,0.12174784007820424
915,0.0,0.0,0.12609417602177087,0.0032489207273354082,0.14284525529443545
916,0.0,0.0,0.15102706631538448,0.002902928281886907,0.16812413803349757
917,0.0,0.0,0.1785570752749002,0.0025967277934190298,0.19596034748148114
918,0.0,0.0,0.21665712768268908,0.005248056555365287,0.2314090711273238
919,0.0,0.0,0.2506812511429348,0.007297182916167048,0.2633840682267678
920,0.0,0.0,0.2558333893540894,0.0072406235478221555,0.26859276580626723
921,0.0,0.0,0.2515750215105444,0.008794716177247074,0.2627803053332973
922,0.0,0.0,0.2368590322716474,0.00961704064614334,0.24724199162550406
923,0.0,0.0,0.21056800799335054,0.007260032592025361,0.2233079754013252
924,0.0,0.0,0.18507895265585553,0.0,0.20507895265585552
925,0.0,0.0,0.16014299066711693,0.0,0.18014299066711692
926,0.0,0.0,0.12556088559550088,0.002781530096899546,0.14277935549860132
927,0.0,0.0,0.09075531907380764,0.004992469829838569,0.10576284924396907
928,0.0,0.0,0.06869885424516778,0.006187101996804073,0.08251175224836371
929,0.0,0.0,0.06754438306098187,0.006696639002563156,0.08084774405841871
930,0.0,0.0,0.06311474425161058,0.006765746451592456,0.07634899780001812
931,0.0,0.0,0.06252071703280235,0.006556690828876182,0.07596402620392617
932,0.0,0.0,0.06327670166480975,0.0061808787443741004,0.07709582292043565
933,0.0,0.0,0.07058816985072217,0.005717529173235454,0.08487064067748673
934,0.0,0.0,0.08295140245331557,0.005217009715954959,0.09773439273736062
935,0.0,0.0,0.10452191937697392,0.004716608661083074,0.11980531071589083
936,0.0,0.0,0.13346939887628728,0.00638965137373188,0.1470797475025554
937,0.0,0.0,0.16495890990591497,0.007192321120458669,0.1777665887854563
938,0.0,0.0,0.19079078337538607,0.007865197582681208,0.20292558579270487
939,0.0,0.0,0.21326770569806341,0.00823404938586215,0.22503365631220126
940,0.0,0.0,0.22874670716080406,0.0027053512123316526,0.2460413559484724
941,0.0,0.0,0.2558988162902625,0.005017102198226414,0.2708817140920361
942,0.0,0.0,0.2618334524062835,0.006826831706759801,0.2750066206995237
943,0.0,0.0,0.2428584962791263,0.006394251273254677,0.25646424500587167
944,0.0,0.0,0.21399867809376336,0.010232429168136055,0.22376624892562727
945,0.0,0.0,0.17529590119768262,0.010381025620098665,0.18491487557758393
946,0.0,0.0,0.14309230092497655,0.00381316468419915,0.15927913624077739
