Index	Video	Part	Numparts	Pixel2PR	Blur width
47	2018_05_31_11_54_11.mj2	8	39	18	36
48	2018_05_31_11_54_11.mj2	9	39	18	36
49	2018_05_31_11_54_11.mj2	10	39	18	36
50	2018_05_31_11_54_11.mj2	11	39	18	36
51	2018_05_31_11_54_11.mj2	12	39	18	36
52	2018_05_31_11_54_11.mj2	13	39	18	36
53	2018_05_31_11_54_11.mj2	14	39	18	36
54	2018_05_31_11_54_11.mj2	15	39	18	36
55	2018_05_31_11_54_11.mj2	16	39	18	36
56	2018_05_31_11_54_11.mj2	17	39	18	36
57	2018_05_31_11_54_11.mj2	18	39	18	36
58	2018_05_31_11_54_11.mj2	19	39	18	36
59	2018_05_31_11_54_11.mj2	20	39	18	36
60	2018_05_31_11_54_11.mj2	21	39	18	36
61	2018_05_31_11_54_11.mj2	22	39	18	36
62	2018_05_31_11_54_11.mj2	23	39	18	36
63	2018_05_31_11_54_11.mj2	24	39	18	36
64	2018_05_31_11_54_11.mj2	25	39	18	36
65	2018_05_31_11_54_11.mj2	26	39	18	36
66	2018_05_31_11_54_11.mj2	27	39	18	36
67	2018_05_31_11_54_11.mj2	28	39	18	36
68	2018_05_31_11_54_11.mj2	29	39	18	36
69	2018_05_31_11_54_11.mj2	30	39	18	36
70	2018_05_31_11_54_11.mj2	31	39	18	36
71	2018_05_31_11_54_11.mj2	32	39	18	36
72	2018_05_31_11_54_11.mj2	33	39	18	36
73	2018_05_31_11_54_11.mj2	34	39	18	36
74	2018_05_31_11_54_11.mj2	35	39	18	36
75	2018_05_31_11_54_11.mj2	36	39	18	36
76	2018_05_31_11_54_11.mj2	37	39	18	36
77	2018_05_31_11_54_11.mj2	38	39	18	36
78	2018_05_31_11_54_11.mj2	39	39	18	36
79	2018_05_31_11_54_11.mj2	1	39	18	54
80	2018_05_31_11_54_11.mj2	2	39	18	54
81	2018_05_31_11_54_11.mj2	3	39	18	54
82	2018_05_31_11_54_11.mj2	4	39	18	54
83	2018_05_31_11_54_11.mj2	5	39	18	54
84	2018_05_31_11_54_11.mj2	6	39	18	54
85	2018_05_31_11_54_11.mj2	7	39	18	54
